ID,Legacy Value,File,Line / Location,Context,Category,Classification,Risk,Recommended Canonical Value,Compatibility Requirement,Cross-Repository Contract,Recommended Action,Notes,Status
PX-001,daydan,src/App.tsx,24,"Theme union member","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with all Theme consumers","Default theme is only React state",Remediated
PX-002,DayDan,src/App.tsx,209,"Sidebar product label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","English shell label",Remediated
PX-003,daydan,src/App.tsx,267,"Theme button active-class comparison","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Coupled to PX-001",Remediated
PX-004,daydan,src/App.tsx,267,"Theme-change callback argument","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Same source line has two technical uses",Remediated
PX-005,DayDan,src/App.tsx,267,"Theme button user label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No programmatic consumer",Remediated
PX-006,daydan,src/App.tsx,337,"Default useState theme value","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","In-memory default only",Remediated
PX-007,daydan,src/App.tsx,374,"Conditional toast theme identifier","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Controls displayed label",Remediated
PX-008,DayDan,src/App.tsx,374,"Theme-switch toast label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","Toast is local UI only",Remediated
PX-009,DayDan,src/App.tsx,467,"Onboarding completion toast","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","Toast is local UI only",Remediated
PX-010,DayDan,src/App.tsx,513,"Mobile top-bar label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","English shell label",Remediated
PX-011,DayDan,src/data.ts,2,"Prototype data-file comment","Comment","A - Safe Rename",Low,Dydan,None,No,"Rename comment","No runtime effect",Remediated
PX-012,DayDan,src/index.css,6,"Design-token file banner comment","Comment","A - Safe Rename",Low,Dydan,None,No,"Rename comment","No CSS selector dependency",Remediated
PX-013,DayDan,src/index.css,11,"Default-token comment","Comment","A - Safe Rename",Low,Dydan,None,No,"Rename comment","No CSS custom property uses legacy identity",Remediated
PX-014,DayDan,src/screens/AuthScreen.tsx,54,"Authentication shell label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No auth endpoint exists",Remediated
PX-015,DayDan,src/screens/AuthScreen.tsx,197,"Authentication version label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","Version is prototype copy",Remediated
PX-016,DayDan,src/screens/ErrorScreen.tsx,4,"Local clipboard error-report heading","Support/error copy","A - Safe Rename",Medium,Dydan,"Confirm future report-ingestion parser if one is added",No,"Rename sample heading","Current report is never sent over network",Remediated
PX-017,DayDan,src/screens/ErrorScreen.tsx,56,"Local report-success text","Support/error copy","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No support integration exists",Remediated
PX-018,DayDan,src/screens/OnboardingScreen.tsx,49,"Onboarding heading","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","English shell label",Remediated
